id,name,version,chain,author_name,author_id,created_at,mint_opens_at,supply,iterations_count
9274,Particles,fxhash 1.0 (Tezos),TEZOS,Aron,tz1iLyHJbvwKnoZwAo5hu5zqXnvUtMYHqCbD,2022-02-13T12:19:44+00:00,2022-02-13T12:19:44+00:00,5,5
9275,Go With The Flow,fxhash 1.0 (Tezos),TEZOS,arto kodo,tz1dm2wpbiz8ZHbLQa5QESmsc4uR4QwwN4Lx,2022-02-13T12:23:44+00:00,2022-02-13T15:23:44+00:00,2,2
9276,Locked Up,fxhash 1.0 (Tezos),TEZOS,smldms,tz1PNijLkGEGcECdS3z7KR9ZUPMWnxQcjLky,2022-02-13T12:25:14+00:00,2022-02-13T12:25:14+00:00,4,4
9277,Impossible Sneakers,fxhash 1.0 (Tezos),TEZOS,Kaloh,tz1UUSrrxHq647suLgAngWE481UTbzUonf9G,2022-02-13T12:31:44+00:00,2022-02-13T12:31:44+00:00,75,75
9278,Hash Smoke,fxhash 1.0 (Tezos),TEZOS,capnganj.tez,tz1fxJDij92mu5fVvqFbyQrCg61WCnWTKFK8,2022-02-13T12:49:44+00:00,2022-02-13T15:49:44+00:00,64,64
9279,Stylin Skulls,fxhash 1.0 (Tezos),TEZOS,SoulTruffle,tz1LcJWkAntq7XkG1NfEBpfDLrVRBqiNXxMQ,2022-02-13T13:02:44+00:00,2022-02-13T16:02:44+00:00,9,9
9280,Complementary synapse,fxhash 1.0 (Tezos),TEZOS,x0y0z0,tz2BMqiDEZoq3hVcWsvEZ4iMYSVPNhNeTxrq,2022-02-13T13:03:44+00:00,2022-02-13T13:03:44+00:00,42,42
9281,"""unfinished""",fxhash 1.0 (Tezos),TEZOS,rudxane,tz1YHsinBJHMj1YFN7UrCsVAgTcaJCH86PjK,2022-02-13T13:21:44+00:00,2022-02-13T13:21:44+00:00,444,444
9282,Bandhani (Gujarati:બાંધણી),fxhash 1.0 (Tezos),TEZOS,trp_chai,tz2HwNBcYQ9quTPSZKGVaUoVnwL6hnqaggcQ,2022-02-13T13:35:14+00:00,2022-02-13T16:35:14+00:00,13,13
9283,The Managed Miles - part 2,fxhash 1.0 (Tezos),TEZOS,Wily Guys,tz1Zy776w4Br4asmH2Z9FNdUUHiZ4Gwbo4ok,2022-02-13T13:36:14+00:00,2022-02-13T16:36:14+00:00,41,41
9284,8bit RPG map gen.,fxhash 1.0 (Tezos),TEZOS,mi55ile,tz1diHALZGp5K2yu9BZpBSP2j5QLwoUq4u13,2022-02-13T13:37:44+00:00,2022-02-13T16:37:44+00:00,1,1
9286,Divide By Circle Unsquared,fxhash 1.0 (Tezos),TEZOS,KilledByAPixel,tz1aFiCb7spiSAdkCYUwaFSLgr4qN9ceGn2b,2022-02-13T13:55:14+00:00,2022-02-13T13:55:14+00:00,25,25
9287,Artificial Still Life,fxhash 1.0 (Tezos),TEZOS,chaos_haunter,tz1WdmziqzcmqdRPPg5N1NBME8NrqZAVDaGq,2022-02-13T14:01:44+00:00,2022-02-13T14:01:44+00:00,54,54
