id,name,version,chain,mint_opens_at,supply,minted,currency,primary_volume,primary_sales,secondary_volume,total_volume,total_sales,total_volume_usd
24633,Origins,fxhash 1.0 (Tezos),TEZOS,2023-02-03T07:41:59+00:00,69,69,XTZ,8.0,69,43.717,51.717,85,58.07
24634,Disdain,fxhash 1.0 (Tezos),TEZOS,2023-02-03T17:00:00+00:00,32,32,XTZ,1024.0,32,709.0,1733.0,46,1939.31
24635,Augmented meditation - GENUARY32,fxhash 1.0 (Tezos),TEZOS,2023-02-03T09:03:29+00:00,32,2,XTZ,0.64,2,0.0,0.64,2,0.72
24636,Checks-XX,fxhash 1.0 (Tezos),TEZOS,2023-02-03T10:00:00+00:00,1000,11,XTZ,11.0,11,0.0,11.0,11,12.5
24637,Waving,fxhash 1.0 (Tezos),TEZOS,2023-02-03T11:09:59+00:00,32,1,XTZ,2.3,1,0.0,2.3,1,2.59
24638,Terrain,fxhash 1.0 (Tezos),TEZOS,2023-02-06T17:00:00+00:00,100,100,XTZ,378.0,100,41.379,419.379,110,449.13
24639,fx(galaxy),fxhash 1.0 (Tezos),TEZOS,2023-02-03T11:38:44+00:00,30,4,XTZ,3.6,4,0.0,3.6,4,4.04
2464,Finesse Generator,fxhash 1.0 (Tezos),TEZOS,2021-12-06T20:26:10+00:00,50,50,XTZ,50.0,50,68.98,118.98,75,505.13
24641,spirit noise,fxhash 1.0 (Tezos),TEZOS,2023-02-03T13:17:14+00:00,15,1,XTZ,0.99,1,0.0,0.99,1,1.16
24642,New Sun,fxhash 1.0 (Tezos),TEZOS,2023-02-04T01:00:00+00:00,99,2,XTZ,2.0,2,0.0,2.0,2,2.28
24643,White - XX,fxhash 1.0 (Tezos),TEZOS,2023-02-03T16:00:00+00:00,1000,31,XTZ,0.0,31,0.0,0.0,31,0.0
24644,Asemic writing,fxhash 1.0 (Tezos),TEZOS,2023-02-04T18:00:00+00:00,32,32,XTZ,410.0,32,386.61,796.61,47,880.53
24645,les villes de l'an deux mille,fxhash 1.0 (Tezos),TEZOS,2023-02-04T16:00:00+00:00,32,32,XTZ,1024.0,32,304.87888,1328.87888,40,1503.64
24647,Bladermassa,fxhash 1.0 (Tezos),TEZOS,2023-02-03T17:00:00+00:00,32,32,XTZ,1024.0,32,695.39,1719.39,54,1898.01
24649,Genuary32nd: Maximalism,fxhash 1.0 (Tezos),TEZOS,2023-02-03T17:00:00+00:00,5,5,XTZ,160.0,5,0.0,160.0,5,170.88
24651,Red Square in a corner,fxhash 1.0 (Tezos),TEZOS,2023-02-03T19:00:00+00:00,16,16,XTZ,64.0,16,0.0,64.0,16,73.24
24652,DEGREES OF FREEDOM,fxhash 1.0 (Tezos),TEZOS,2023-02-03T20:00:00+00:00,32,32,XTZ,1024.0,32,434.69,1458.69,39,1676.91
24653,chilliness,fxhash 1.0 (Tezos),TEZOS,2023-02-03T19:05:00+00:00,50,36,XTZ,72.0,36,0.9,72.9,37,77.71
24654,Upward Gaze,fxhash 1.0 (Tezos),TEZOS,2023-02-03T22:00:00+00:00,100,100,XTZ,100.0,100,9.5,109.5,104,124.64
24655,Balance,fxhash 1.0 (Tezos),TEZOS,2023-02-04T18:00:00+00:00,32,32,XTZ,1024.0,32,169.0,1193.0,36,1326.76
24656,Residence,fxhash 1.0 (Tezos),TEZOS,2023-02-05T17:08:00+00:00,32,32,XTZ,96.0,32,8.0,104.0,33,121.58
24658,Hamiltonian Chaos Rug,fxhash 1.0 (Tezos),TEZOS,2023-02-04T15:00:00+00:00,32,32,XTZ,528.0,32,40.0,568.0,33,619.84
24659,NervousGrid 05,fxhash 1.0 (Tezos),TEZOS,2023-02-04T17:00:00+00:00,10,10,XTZ,64.0,10,0.0,64.0,10,75.8
2466,Blue Toad,fxhash 1.0 (Tezos),TEZOS,2021-12-06T20:29:10+00:00,111,111,XTZ,333.0,111,2720.946233,3053.946233,228,12812.56
24660,Circles Soul,fxhash 1.0 (Tezos),TEZOS,2023-02-03T17:20:44+00:00,256,13,XTZ,4.0,13,0.0,4.0,13,4.58
24661,Runaway 🏃‍♂️,fxhash 1.0 (Tezos),TEZOS,2023-02-03T20:29:14+00:00,32,31,XTZ,992.0,31,336.0,1328.0,36,1503.5
24662,Citizens,fxhash 1.0 (Tezos),TEZOS,2023-02-10T17:15:00+00:00,50,50,XTZ,50.0,50,7.479,57.479,53,59.41
24663,Gravel,fxhash 1.0 (Tezos),TEZOS,2023-02-03T17:47:14+00:00,128,128,XTZ,640.0,128,113.293,753.293,155,849.75
