channel,rotator,hue360,sat100,light100,length
3,46.536,199.6875,56.25,56.25,118
1,46.725,140.625,56.25,56.25,118
3,46.725,174.375,56.25,56.25,118
1,46.914,154.6875,59.375,59.375,118
2,46.914,194.0625,34.375,34.375,478
3,46.914,188.4375,59.375,59.375,118
1,47.104,174.375,50,50,118
3,47.104,208.125,50,50,118
1,47.313,146.25,76.5625,76.5625,118
3,47.313,180,76.5625,76.5625,118
1,47.491,140.625,62.5,62.5,114
3,47.491,174.375,62.5,62.5,114
1,47.671,101.25,44.53125,44.53125,118
2,47.671,180,46.875,46.875,2864
3,47.671,135,44.53125,44.53125,118
5,47.671,101.25,99.21875,99.21875,1438
1,47.860,165.9375,56.25,56.25,118
3,47.860,199.6875,56.25,56.25,118
1,48.049,146.25,69.53125,69.53125,118
3,48.049,180,69.53125,69.53125,118
1,48.239,180,50,50,118
3,48.239,213.75,50,50,118
1,48.428,165.9375,69.53125,69.53125,118
3,48.428,199.6875,69.53125,69.53125,118
1,48.617,174.375,59.375,59.375,118
3,48.617,208.125,59.375,59.375,118
1,48.806,165.9375,40.625,40.625,118
3,48.806,199.6875,40.625,40.625,118
1,48.995,154.6875,72.65625,72.65625,118
3,48.995,188.4375,72.65625,72.65625,118
1,49.184,146.25,69.53125,69.53125,118
3,49.184,180,69.53125,69.53125,118
1,49.374,160.3125,66.40625,66.40625,118
3,49.374,194.0625,66.40625,66.40625,118
1,49.563,165.9375,69.53125,69.53125,118
3,49.563,199.6875,69.53125,69.53125,118
1,49.752,160.3125,72.65625,72.65625,118
3,49.752,194.0625,72.65625,72.65625,118
1,49.941,135,46.09375,46.09375,118
3,49.941,168.75,46.09375,46.09375,118
5,49.941,98.4375,94.53125,94.53125,1914
1,50.130,168.75,59.375,59.375,118
3,50.130,202.5,59.375,59.375,118
1,50.319,154.6875,72.65625,72.65625,118
3,50.319,188.4375,72.65625,72.65625,118
1,50.509,165.9375,53.125,53.125,118
3,50.509,199.6875,53.125,53.125,118
1,50.698,146.25,53.125,53.125,118
3,50.698,180,53.125,53.125,118
1,50.887,174.375,62.5,62.5,118
3,50.887,208.125,62.5,62.5,118
1,51.076,180,79.6875,79.6875,118
3,51.076,213.75,79.6875,79.6875,118
1,51.265,154.6875,69.53125,69.53125,118
3,51.265,188.4375,69.53125,69.53125,118
1,51.454,165.9375,59.375,59.375,118
3,51.454,199.6875,59.375,59.375,118
1,51.644,146.25,62.5,62.5,118
3,51.644,180,62.5,62.5,118
1,51.833,160.3125,59.375,59.375,118
3,51.833,194.0625,59.375,59.375,118
1,52.022,165.9375,79.6875,79.6875,118
3,52.022,199.6875,79.6875,79.6875,118
1,52.211,135,99.21875,99.21875,118
3,52.211,168.75,99.21875,99.21875,118
1,52.400,146.25,72.65625,72.65625,118
3,52.400,180,72.65625,72.65625,118
1,52.589,140.625,83.59375,83.59375,118
3,52.589,174.375,83.59375,83.59375,118
1,52.790,120.9375,72.65625,72.65625,113
3,52.790,154.6875,72.65625,72.65625,113
2,52.968,180,59.375,59.375,478
5,52.968,112.5,99.21875,99.21875,1438
1,52.979,101.25,79.6875,79.6875,118
3,52.979,135,79.6875,79.6875,118
1,53.157,135,59.375,59.375,118
3,53.157,168.75,59.375,59.375,118
