"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"#01000EFF","#D42D24FF","#EE7E24FF","#FBA724FF","#DABD8EFF","#C9C8C6FF","#01000EFF","#D42D24FF","#EE7E24FF","#FBA724FF","#DABD8EFF","#C9C8C6FF"
"#491C09FF","#722D19FF","#A54E21FF","#CC842AFF","#E7A92FFF","#DFB54DFF","#DDB855FF","#DABE69FF","#F2E488FF","#491C09FF","#722D19FF","#A54E21FF"
"#1F4E93FF","#464A6BFF","#4275AFFF","#617B97FF","#7A99C3FF","#BBC6D4FF","#E5E6E8FF","#E28772FF","#D83036FF","#1F4E93FF","#464A6BFF","#4275AFFF"
"#221C3EFF","#383562FF","#424071FF","#424072FF","#575EAEFF","#585FAFFF","#6E6DA7FF","#E2BC7DFF","#E2BC7BFF","#E1B97CFF","#A7743FFF","#A8733FFF"
"#01193FFF","#001A3FFF","#001A3DFF","#001D49FF","#002B6AFF","#012A6AFF","#002C6BFF","#0F4581FF","#0061BCFF","#0261BDFF","#0062BDFF","#70849DFF"
"#0A2443FF","#254D72FF","#75A6F0FF","#74A7EFFF","#5BC4D9FF","#B7D0D2FF","#C5D8DFFF","#BBA7A3FF","#B7928AFF","#B5958EFF","#9B6E65FF","#0A2443FF"
"#22203BFF","#35213DFF","#3A213EFF","#472240FF","#5B2442FF","#737C77FF","#72BD95FF","#63BBA4FF","#02AC9AFF","#2B9494FF","#015969FF","#22203BFF"
"#000000FF","#FFFFFFFF","#FEFEFEFF","#FCFCFCFF","#F9F9F9FF","#F3F3F3FF","#ECECECFF","#EAEAEAFF","#EBEBEBFF","#FDFDFDFF","#FBFBFBFF","#F0E5C4FF"
"#252B5BFF","#125B99FF","#0C66ACFF","#6FA7B9FF","#80CCDFFF","#DBD749FF","#FCEA1BFF","#EAC89BFF","#F5BD9FFF","#E69EA6FF","#E74690FF","#252B5BFF"
"#1C121BFF","#27232AFF","#2C2B30FF","#4F4848FF","#786A65FF","#B4A8A7FF","#E3D9DBFF","#AD988FFF","#4F2B12FF","#512D19FF","#451E09FF","#1C121BFF"
"#1D1D20FF","#434544FF","#454746FF","#481825FF","#4A0317FF","#7A172BFF","#992437FF","#633142FF","#17293BFF","#66838EFF","#5F7E89FF","#1D1D20FF"
"#551B1AFF","#661D1CFF","#7B201FFF","#913834FF","#B1342DFF","#B7806FFF","#D8BF95FF","#D1BC9BFF","#C6A374FF","#C4A076FF","#BA8C5DFF","#551B1AFF"
"#97110EFF","#D61C20FF","#D71C20FF","#BE6C63FF","#AF9989FF","#B88D6AFF","#C1824CFF","#925A40FF","#834329FF","#6D321FFF","#62291AFF","#97110EFF"
"#000000FF","#2E0711FF","#330813FF","#570D21FF","#610F25FF","#781E31FF","#862137FF","#9F3043FF","#B1364BFF","#C65C66FF","#DC6772FF","#D16970FF"
"#00B5E4FF","#649D72FF","#F1E436FF","#F3E338FF","#C25337FF","#E80F18FF","#EA0E18FF","#E02327FF","#C7844FFF","#A96943FF","#8A472AFF","#8C472AFF"
"#000000FF","#001221FF","#012243FF","#002142FF","#002341FF","#002343FF","#187999FF","#00B6E6FF","#00B6E5FF","#62A2ACFF","#CD8958FF","#CD8A56FF"
"#5152E0FF","#266DB8FF","#00A4EEFF","#0AA5E2FF","#35CBBFFF","#51C5B4FF","#A9BE93FF","#C2B3A2FF","#F78FB2FF","#F186AAFF","#EC6D98FF","#5152E0FF"
"#04738DFF","#127C86FF","#04C3C8FF","#449D94FF","#D87939FF","#D2854AFF","#E5AB52FF","#695037FF","#2C201EFF","#948885FF","#D8CDC9FF","#04738DFF"
"#05185AFF","#041759FF","#04175BFF","#0D497DFF","#075D9AFF","#085C9AFF","#783850FF","#AF2547FF","#AF2549FF","#B32D4EFF","#DB3367FF","#DA3367FF"
"#000000FF","#081F39FF","#0F3B6CFF","#345A78FF","#316283FF","#4A879CFF","#2F8FA8FF","#88B2BEFF","#C6D4DDFF","#CAD6DFFF","#EFEFEFFF","#000000FF"
"#000000FF","#1E46A2FF","#FB323BFF","#C5E137FF","#000000FF","#1E46A2FF","#FB323BFF","#C5E137FF","#000000FF","#1E46A2FF","#FB323BFF","#C5E137FF"
"#000000FF","#045456FF","#079FA3FF","#677773FF","#E75742FF","#CF7660FF","#C6AA73FF","#CCB587FF","#F0D69FFF","#E8CEA9FF","#E2C8B2FF","#000000FF"
"#643833FF","#714531FF","#F29E5AFF","#C3736DFF","#EB5088FF","#DA6992FF","#F077A4FF","#E685AAFF","#C26898FF","#BA9E90FF","#B0CA84FF","#643833FF"
"#000000FF","#333333FF","#694C44FF","#996354FF","#CB9578FF","#D49979FF","#D59B7CFF","#E3B396FF","#D44E58FF","#C11B32FF","#000000FF","#333333FF"
"#122246FF","#304A83FF","#4B6FBBFF","#717580FF","#928167FF","#B6A593FF","#C2B2A2FF","#739762FF","#538C48FF","#95B469FF","#BFCD70FF","#122246FF"
"#000000FF","#0C0E24FF","#171A45FF","#274B84FF","#1C519BFF","#DC3141FF","#E92837FF","#E63435FF","#D66B29FF","#DC762AFF","#F9AA2DFF","#000000FF"
"#000000FF","#170F25FF","#2C1C47FF","#6D4A6BFF","#7B4E73FF","#8C657EFF","#AD9494FF","#A39BA6FF","#5872A8FF","#4B5B87FF","#212C5AFF","#000000FF"
"#261710FF","#2C1C14FF","#322119FF","#583E30FF","#72523FFF","#775A48FF","#AF8361FF","#BCA08FFF","#CAC0C1FF","#CDC4C5FF","#EEE8E8FF","#261710FF"
"#341B0EFF","#5B2E16FF","#673419FF","#79421DFF","#A46425FF","#B28351FF","#E2AF6DFF","#DFB77DFF","#FFBC38FF","#FCCA60FF","#F8DC8CFF","#341B0EFF"
"#000000FF","#472F1AFF","#885932FF","#986C4CFF","#A67E63FF","#A8917CFF","#AA9A87FF","#BAB2A8FF","#CCCCCCFF","#CDCDCDFF","#CECECEFF","#EDEDEDFF"
"#332830FF","#2D2429FF","#544549FF","#8F070FFF","#90060EFF","#E0B412FF","#DCAE14FF","#FDCA00FF","#F0B50AFF","#C97827FF","#B7712CFF","#512100FF"
"#212121FF","#452711FF","#CA5600FF","#C17100FF","#C17200FF","#C97A00FF","#FFB000FF","#F8B016FF","#D41311FF","#BB1717FF","#781A1FFF","#212121FF"
"#795998FF","#7D4D7FFF","#954C84FF","#AD5A88FF","#D05F95FF","#DAA7ABFF","#F0A9A7FF","#E7B7B2FF","#EFCCB6FF","#D1CAC8FF","#B5C5D5FF","#795998FF"
"#29192CFF","#48122BFF","#7F002FFF","#CF0073FF","#DB0096FF","#E9006EFF","#29192CFF","#48122BFF","#7F002FFF","#CF0073FF","#DB0096FF","#E9006EFF"
"#373239FF","#6E2B3DFF","#A21C3FFF","#E9003FFF","#E783A9FF","#EDEDEDFF","#EEEEEEFF","#EFEFEFFF","#373239FF","#6E2B3DFF","#A21C3FFF","#E9003FFF"
"#AE0315FF","#AF0215FF","#AE0313FF","#AA0412FF","#FF2643FF","#FB2642FF","#FB2740FF","#F92740FF","#F9283EFF","#FD2441FF","#F52942FF","#F62640FF"
"#E37A0FFF","#492F48FF","#482E47FF","#AA8B4AFF","#AA8B48FF","#E65286FF","#E65284FF","#E75387FF","#E95285FF","#E85184FF","#018F83FF","#009083FF"
"#000103FF","#010101FF","#000000FF","#000201FF","#000002FF","#010103FF","#F8B3D0FF","#F7B4D5FF","#F6B3D4FF","#F8B2D6FF","#F9B3D7FF","#FBB1D6FF"
